Y;D;TMAX
2009;2009-04-18;26,8
2009;2009-04-19;26,7
2009;2009-04-20;26,7
2009;2009-04-21;28,4
2009;2009-04-22;29,3
2009;2009-04-23;26,2
2009;2009-04-24;28,2
2009;2009-04-25;28,4
2009;2009-04-26;27,8
2009;2009-04-27;29,5
2009;2009-04-28;28,6
2009;2009-04-29;28,7
2009;2009-04-30;27,7
2009;2009-05-01;29,5
2009;2009-05-02;28,2
2009;2009-05-03;27,3
2009;2009-05-04;28,1
2009;2009-05-05;28,9
2009;2009-05-06;28,5
2009;2009-05-07;29,5
2009;2009-05-08;30,1
2009;2009-05-09;29,2
2009;2009-05-10;29,3
2009;2009-05-11;29,5
2009;2009-05-12;29,1
2009;2009-05-13;29,2
2009;2009-05-14;29,9
2009;2009-05-15;29,9
2009;2009-05-16;30
2009;2009-05-17;29,9
2009;2009-05-18;29,4
2009;2009-05-19;32
2009;2009-05-20;32,8
2009;2009-05-21;31,5
2009;2009-05-22;31,5
2009;2009-05-23;31,1
2009;2009-05-24;31,2
2009;2009-05-25;31,5
2009;2009-05-26;30,7
2009;2009-05-27;30,5
2009;2009-05-28;29,5
2009;2009-05-29;30
2009;2009-05-30;30,5
2009;2009-05-31;30,3
2009;2009-06-01;30,3
2009;2009-06-02;30,6
2009;2009-06-03;31,2
2009;2009-06-04;31,7
2009;2009-06-05;33,2
2009;2009-06-06;32,5
2009;2009-06-07;32,7
2009;2009-06-08;31,9
2009;2009-06-09;32,1
2009;2009-06-10;32,8
2009;2009-06-11;34
2009;2009-06-12;33,7
2009;2009-06-13;33,2
2009;2009-06-14;32,9
2009;2009-06-15;33,3
2009;2009-06-16;32,9
2009;2009-06-17;32,8
2009;2009-06-18;31,8
2009;2009-06-19;28,9
2009;2009-06-20;32,8
2009;2009-06-21;33,1
2009;2009-06-22;33,9
2009;2009-06-23;33,6
2009;2009-06-24;30,2
2009;2009-06-25;27,9
2009;2009-06-26;30,6
2009;2009-06-27;29,4
2009;2009-06-28;30,6
2009;2009-06-29;30
2009;2009-06-30;29,7
2009;2009-07-01;30,4
2009;2009-07-02;31,9
2009;2009-07-03;31,1
2009;2009-07-04;31,9
2009;2009-07-05;32,4
2009;2009-07-06;33,8
2009;2009-07-07;33,2
2009;2009-07-08;33,9
2009;2009-07-09;34,4
2009;2009-07-10;34,3
2009;2009-07-11;34,1
2009;2009-07-12;32,4
2009;2009-07-13;35,2
2009;2009-07-14;32,1
2009;2009-07-15;32,4
2009;2009-07-16;33,7
2009;2009-07-17;33,6
2009;2009-07-18;34,2
2009;2009-07-19;33,7
2009;2009-07-20;34,3
2009;2009-07-21;34,5
2009;2009-07-22;34,3
2009;2009-07-23;33,8
2009;2009-07-24;33,6
2009;2009-07-25;NA
2009;2009-07-26;NA
2009;2009-07-27;NA
2009;2009-07-28;NA
2009;2009-07-29;NA
2009;2009-07-30;NA
2009;2009-07-31;NA
2010;2010-03-01;25,4
2010;2010-03-02;25,5
2010;2010-03-03;25
2010;2010-03-04;25,1
2010;2010-03-05;25,2
2010;2010-03-06;25,1
2010;2010-03-07;26,8
2010;2010-03-08;26,2
2010;2010-03-09;25,3
2010;2010-03-10;24,3
2010;2010-03-11;23,7
2010;2010-03-12;25,2
2010;2010-03-13;23,5
2010;2010-03-14;23,9
2010;2010-03-15;25,2
2010;2010-03-16;26,4
2010;2010-03-17;28,9
2010;2010-03-18;26,6
2010;2010-03-19;25,9
2010;2010-03-20;26
2010;2010-03-21;27,5
2010;2010-03-22;25,2
2010;2010-03-23;26,3
2010;2010-03-24;26,4
2010;2010-03-25;27,7
2010;2010-03-26;26,9
2010;2010-03-27;28
2010;2010-03-28;27,8
2010;2010-03-29;26,8
2010;2010-03-30;26,8
2010;2010-03-31;26,4
2010;2010-04-01;25,9
2010;2010-04-02;26
2010;2010-04-03;28
2010;2010-04-04;26,7
2010;2010-04-05;27,7
2010;2010-04-06;27,8
2010;2010-04-07;27,7
2010;2010-04-08;27,7
2010;2010-04-09;27,1
2010;2010-04-10;28,9
2010;2010-04-11;28,1
2010;2010-04-12;28,2
2010;2010-04-13;27
2010;2010-04-14;28,1
2010;2010-04-15;27,6
2010;2010-04-16;27,7
2010;2010-04-17;27,3
2010;2010-04-18;27,9
2010;2010-04-19;27,5
2010;2010-04-20;27,4
