year;site;nest;comment;;;;;;;;;;;
2009;A;4;;;;;;;;;;;;
2009;A;5;;;;;;;;;;;;
2009;A;6;;;;;;;;;;;;
2009;A;7;;;;;;;;;;;;
2009;A;8;;;;;;;;;;;;
2009;A;9;;;;;;;;;;;;
2009;A;101;;;;;;;;;;;;
2009;A;102;;;;;;;;;;;;
2009;A;103;2nd & 3rd egg found on 617;;;;;;;;;;;
2009;A;201;;;;;;;;;;;;
2009;A;202;;;;;;;;;;;;
2009;A;203;;;;;;;;;;;;
2009;A;204;;;;;;;;;;;;
2009;A;205;;;;;;;;;;;;
2009;A;206;nest flooded on 708, unclear whether last egg hatched and chick died or egg was flooded;;;;;;;;;;;
2009;A;207;;;;;;;;;;;;
2009;B;1;;;;;;;;;;;;
2009;B;2;;;;;;;;;;;;
2009;B;3;;;;;;;;;;;;
2009;B;4;;;;;;;;;;;;
2009;B;5;;;;;;;;;;;;
2009;B;6;;;;;;;;;;;;
2009;B;101;612 two eggs missing (last seen 610 without pecking), both parents still around and last egg pecking very softly;;;;;;;;;;;
2009;B;102;;;;;;;;;;;;
2009;C;1;;;;;;;;;;;;
2009;C;2;;;;;;;;;;;;
2009;C;3;;;;;;;;;;;;
2009;C;4;;;;;;;;;;;;
2009;C;5;;;;;;;;;;;;
2009;C;6;;;;;;;;;;;;
2009;C;7;eggs floated on 708.;;;;;;;;;;;
2009;C;8;;;;;;;;;;;;
2009;C;101;3rd egg floated 519;;;;;;;;;;;
2009;C;102;;;;;;;;;;;;
2009;C;103;floated on 617;;;;;;;;;;;
2009;C;104;two chicks found at hatching;;;;;;;;;;;
2009;D;1;;;;;;;;;;;;
2009;D;2;;;;;;;;;;;;
2009;D;3;;;;;;;;;;;;
2009;D;4;;;;;;;;;;;;
2009;D;5;;;;;;;;;;;;
2009;D;6;eggs floated on 601;;;;;;;;;;;
2009;D;7;eggs floated on 531;;;;;;;;;;;
2009;D;8;;;;;;;;;;;;
2009;D;9;;;;;;;;;;;;
2009;D;10;eggs floated on 618;;;;;;;;;;;
2009;D;11;;;;;;;;;;;;
2009;D;12;;;;;;;;;;;;
2009;D;101;abandoned during first incubation week by female |YX.MX, 3rd egg found on 520;;;;;;;;;;;
2009;D;102;;;;;;;;;;;;
2009;D;103;3rd egg floated 530;;;;;;;;;;;
2009;D;104;;;;;;;;;;;;
2009;D;105;;;;;;;;;;;;
2009;D;106;;;;;;;;;;;;
2009;D;107;;;;;;;;;;;;
2009;D;108;;;;;;;;;;;;
2009;D;109;;;;;;;;;;;;
2009;D;110;;;;;;;;;;;;
2009;D;111;;;;;;;;;;;;
2009;D;112;3rd egg found on 613;;;;;;;;;;;
2009;D;113;3rd egg found on 613;;;;;;;;;;;
2009;E;1;;;;;;;;;;;;
2009;E;2;;;;;;;;;;;;
2009;E;3;;;;;;;;;;;;
2009;E;4;eggs floated on 531;;;;;;;;;;;
2009;E;5;eggs (pecking) trampled by cows after cross fostering at E2;;;;;;;;;;;
2009;E;6;;;;;;;;;;;;
2009;E;7;eggs floated on 611.;;;;;;;;;;;
2009;E;8;;;;;;;;;;;;
2009;E;9;;;;;;;;;;;;
2009;G;1;already flooded and abandoned when found;;;;;;;;;;;
2009;G;2;;;;;;;;;;;;
2009;G;3;;;;;;;;;;;;
2009;G;4;;;;;;;;;;;;
2009;G;5;;;;;;;;;;;;
2009;G;6;;;;;;;;;;;;
2009;G;7;;;;;;;;;;;;
2009;G;8;;;;;;;;;;;;
2009;G;9;;;;;;;;;;;;
2010;A;1;The eggs were not measured at finding;;;;;;;;;;;
2010;A;2;The eggs were not measured at finding;;;;;;;;;;;
2010;A;3;;;;;;;;;;;;
2010;A;4;;;;;;;;;;;;
2010;A;5;The eggs were not measured at finding;;;;;;;;;;;
2010;A;6;The eggs were not measured at finding;;;;;;;;;;;
2010;A;7;The eggs were not measured at finding;;;;;;;;;;;
2010;A;8;;;;;;;;;;;;
2010;A;9;one egg at finding;;;;;;;;;;;
2010;A;10;;;;;;;;;;;;
2010;A;11;;;;;;;;;;;;
2010;A;12;;;;;;;;;;;;
2010;A;13;"one egg to the finding; Floated 501";;;;;;;;;;;
2010;A;14;"one egg to the finding; Floated 501";;;;;;;;;;;
2010;A;15;The eggs were not measured at finding;;;;;;;;;;;
2010;A;16;;;;;;;;;;;;
2010;A;17;;;;;;;;;;;;
2010;A;18;The eggs were not measured at finding;;;;;;;;;;;
2010;A;19;;;;;;;;;;;;
2010;A;20;;;;;;;;;;;;
2010;A;21;;;;;;;;;;;;
2010;A;22;The eggs were not measured at finding;;;;;;;;;;;
2010;A;23;The eggs were not measured at finding;;;;;;;;;;;
2010;A;24;;;;;;;;;;;;
2010;A;25;"one egg at finding; Floated 501";;;;;;;;;;;
2010;A;26;The eggs were not measured at finding;;;;;;;;;;;
2010;A;27;The eggs were not measured at finding;;;;;;;;;;;
2010;A;28;;;;;;;;;;;;
2010;A;29;;;;;;;;;;;;
2010;A;30;;;;;;;;;;;;
2010;A;31;Hatch two chicks last day of fieldwork, the last egg pecking even;;;;;;;;;;;
2010;A;101;;;;;;;;;;;;
2010;A;102;;;;;;;;;;;;
2010;A;103;;;;;;;;;;;;
2010;A;104;;;;;;;;;;;;
2010;A;105;;;;;;;;;;;;
2010;A;106;found with 3 chicks hatched;;;;;;;;;;;
2010;A;107;;;;;;;;;;;;
2010;A;108;found with 2 chicks hatching;;;;;;;;;;;
2010;A;109;;;;;;;;;;;;
2010;A;110;floated on 521;;;;;;;;;;;
2010;A;111;Last obs: 521;;;;;;;;;;;
2010;A;112;two eggs disappeared on 529;;;;;;;;;;;
2010;A;113;;;;;;;;;;;;
2010;A;114;;;;;;;;;;;;
2010;A;115;;;;;;;;;;;;
2010;A;116;"floated on 615; One chick not was captured";;;;;;;;;;;
2010;A;117;;;;;;;;;;;;
2010;B;101;all eggs pecking;;;;;;;;;;;
2010;B;102;Last obs: 607;;;;;;;;;;;
2010;B;103;Last fieldwork day three eggs pecking;;;;;;;;;;;
2010;B;201;;;;;;;;;;;;
